rfq_id,product_type,underlyings,basket_type,autocall_barrier_pct,protection_barrier_pct,no_call_period_months,observation_frequency,quoted_implied_vol,notional_credits,counterparty,trader_id,requested_date,executed,start_date,end_date,avg_duration_months
RFQ-000000,Kessel Run Snowball,CLNE|DRC,worst_of,1.0,0.5424,3,Monthly,0.2455,250000,Jabba Asset Management,TRD-015,2022-09-08,False,2022-09-08,2030-01-22,
RFQ-000001,Kessel Run Snowball,SITH|WOOK,worst_of,1.0,0.6258,6,1Y,0.2365,100000,Corellian Capital,TRD-010,2022-06-10,False,2022-06-10,2030-08-09,
RFQ-000002,Death Star Phoenix Note,MNDO|NABO,worst_of,1.0152,0.5899,2,1M,0.2011,100000,Nal Hutta Traders,TRD-026,2019-05-27,False,2019-05-27,2028-12-09,
RFQ-000003,Kessel Run Snowball,TECH|SITH,worst_of,1.0,0.5944,4,6M,0.2755,250000,Chandrila Sovereign Fund,TRD-032,2021-09-01,True,2021-09-01,2026-01-30,30.71
RFQ-000004,Mandalorian Twin-Win,JEDI,single,1.3149,0.788,0,3 months,0.1266,100000,Corellian Capital,TRD-034,2023-04-06,False,2023-04-06,2026-07-13,
RFQ-000005,Holocron Reverse Convertible,KYBR,single,1.3492,0.7391,0,3M,0.2032,500000,Jabba Asset Management,TRD-003,2024-05-08,False,2024-05-08,2032-09-09,
RFQ-000006,Sith Eternal Snowball,REBL|CLNE|JEDI,worst_of,1.0,0.5952,2,1Y,0.1739,100000,Chandrila Sovereign Fund,TRD-012,2020-03-23,False,2020-03-23,2030-01-22,
RFQ-000007,Kessel Run Snowball,JEDI|CORL,worst_of,1.0,0.5567,3,2M,0.2418,100000,Banco de Coruscant,TRD-027,2017-10-06,False,2017-10-06,2025-12-25,
RFQ-000008,Mandalorian Twin-Win,POBK,single,1.2147,0.7669,0,1M,0.463,500000,Corellian Capital,TRD-022,2021-02-01,True,2021-02-04,2028-02-05,14.27
RFQ-000009,Mandalorian Twin-Win,MNDO,single,1.1783,0.8218,0,1M,0.4066,500000,Alderaan Wealth Partners,TRD-012,2017-04-26,False,2017-04-26,2019-10-01,
RFQ-000010,Holocron Reverse Convertible,TECH,single,1.3921,0.7581,0,6M,0.287,250000,Chandrila Sovereign Fund,TRD-028,2021-02-15,False,2021-02-15,2029-07-19,
RFQ-000011,Death Star Phoenix Note,REBL|NABO,worst_of,1.001,0.691,2,M,0.1522,1000000,Chandrila Sovereign Fund,TRD-034,2021-11-24,False,2021-11-24,2028-09-14,
RFQ-000012,Death Star Phoenix Note,TECH|NABO,worst_of,0.9847,0.634,2,3M,0.2479,250000,Corellian Capital,TRD-021,2019-10-08,True,2019-10-12,2024-09-24,23.96
RFQ-000013,Wretched Hive Digital,TECH|REBL,worst_of,1.2584,0.6,0,3M,0.2231,500000,Banco de Coruscant,TRD-033,2019-04-16,False,2019-04-16,2023-04-07,
RFQ-000014,Mandalorian Twin-Win,CLNE,single,1.2882,0.8127,0,Q,0.1322,100000,Nal Hutta Traders,TRD-007,2019-08-22,False,2019-08-22,2025-10-18,
RFQ-000015,Sith Eternal Snowball,TECH|WOOK|HTTX,worst_of,1.0,0.6498,6,6M,0.4181,250000,First Order Financial,TRD-008,2021-01-11,False,2021-01-11,2030-03-05,
RFQ-000016,Death Star Phoenix Note,BSKR|DRC,worst_of,0.9632,0.6909,0,3M,0.2969,100000,Nal Hutta Traders,TRD-006,2018-06-28,False,2018-06-28,2025-03-21,
RFQ-000017,Death Star Phoenix Note,KYBR|BSKR,worst_of,0.9956,0.5925,3,3M,0.2897,100000,Kamino Cloning Trust,TRD-006,2016-09-13,True,2016-09-17,2020-10-20,36.05
