underlying,sector,structural_base_vol
KYBR,Mineria de materiales estrategicos,0.22
CORL,Logistica y transporte,0.28
MNDO,Defensa y armamento,0.35
HTTX,Comercio y materias primas,0.5
TECH,Tecnologia y automatizacion,0.32
SITH,Energia e infraestructuras,0.26
JEDI,Gestion patrimonial,0.14
BSKR,Metales y aleaciones,0.3
POBK,Ocio y entretenimiento,0.42
NABO,Agricultura y biotecnologia,0.11
REBL,Renta fija especulativa,0.18
WOOK,Manufactura,0.27
CLNE,Servicios y personal,0.15
DRC,Consumo y distribucion,0.31
